region_code,region_name,total_population,male_population,female_population,region_type,bundesland
15090,Stendal,110291,54172,56119,kreis,Sachsen-Anhalt
15091,Wittenberg,123888,60893,62995,kreis,Sachsen-Anhalt
16,Thüringen,2126846,1051482,1075364,bundesland,Thüringen
16051,Erfurt,214969,104205,110764,kreis,Thüringen
16052,Gera,93634,45174,48460,kreis,Thüringen
16053,Jena,111191,55301,55890,kreis,Thüringen
16054,Suhl,37009,18339,18670,kreis,Thüringen
16055,Weimar,65620,31624,33996,kreis,Thüringen
16061,Eichsfeld,100091,50150,49941,kreis,Thüringen
16062,Nordhausen,82444,40782,41662,kreis,Thüringen
16063,Wartburgkreis,159539,79425,80114,kreis,Thüringen
16064,Unstrut-Hainich-Kreis,102256,50688,51568,kreis,Thüringen
16065,Kyffhäuserkreis,73690,36612,37078,kreis,Thüringen
16066,Schmalkalden-Meiningen,123939,61977,61962,kreis,Thüringen
16067,Gotha,134941,66997,67944,kreis,Thüringen
16068,Sömmerda,69646,34846,34800,kreis,Thüringen
16069,Hildburghausen,61926,31002,30924,kreis,Thüringen
16070,Ilm-Kreis,106776,53798,52978,kreis,Thüringen
16071,WeimarerLand,83179,41156,42023,kreis,Thüringen
16072,Sonneberg,56922,28093,28829,kreis,Thüringen
16073,Saalfeld-Rudolstadt,101494,49926,51568,kreis,Thüringen
16074,Saale-Holzland-Kreis,83234,41328,41906,kreis,Thüringen
16075,Saale-Orla-Kreis,79178,39306,39872,kreis,Thüringen
16076,Greiz,96381,47487,48894,kreis,Thüringen
16077,AltenburgerLand,88787,43266,45521,kreis,Thüringen
